field_name,layer,producer,source_log,type,unit,meaning_claimed,valid_when,missing_representation,forwarded_to,evidence,status,open_question
rovers[].fix_quality,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number|null,ID / số đếm / trạng thái,Fix quality gần nhất,Phản hồi get_online_rovers,null khi chưa có,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1196,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rovers[].fix_quality_age_ms,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number|null,ms,Tuổi thông tin fix tại Base,Phản hồi get_online_rovers,null khi chưa có,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1197,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rovers[].correction_stream_id,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number|null,ID / số đếm / trạng thái,Stream gắn snapshot fix,Phản hồi get_online_rovers,null khi chưa có,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1199,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rovers[].last_rtcm_ack_age_ms,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number,ms,Tuổi ACK RTCM tại Base,Phản hồi get_online_rovers,Không null trong item,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1206,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
status (payload text),MQTT,Base MQTT connect/publish,Kết nối MQTT,string,trạng thái,online khi connect; offline qua Last Will; không phải JSON,Kết nối / broker phát Will,Không quy định null,Python on_status nếu có callback,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:776; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:785; bình sai/src/gnss_adjustment_cli/mqtt_transport.py:50,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
action,MQTT,MQTT command client,Lệnh JSON,string,tên lệnh,Tên hành động điều khiển Base,Theo action và kiểm tra parser,Thiếu → chuỗi rỗng và reject,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:442,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
transaction_id,MQTT,MQTT command client,Lệnh JSON,uint32 JSON,ID,Local/query bắt buộc khác 0; lệnh Rover thiếu/0 được sinh esp_random,Theo action và kiểm tra parser,0 hoặc bỏ trường tùy action,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:473,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
target_mac,MQTT,MQTT command client,Lệnh JSON,string,MAC,MAC đích; bắt buộc fixed ECEF,Theo action và kiểm tra parser,Thiếu xử lý tùy action,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:530,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
fix_timeout_s,MQTT,MQTT command client,Lệnh JSON,number,s,Thời gian chờ FIX cho chuyển fixed Base,Theo action và kiểm tra parser,Dùng giá trị mặc định cấu hình,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:578,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
coordinate_system,MQTT,MQTT command client,Lệnh JSON,string,enum,ecef hoặc llh cho local coordinates,Theo action và kiểm tra parser,Thiếu → chuỗi rỗng; reject,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:289,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
llh.latitude_deg,MQTT,MQTT command client,Lệnh JSON,number,độ,Vĩ độ local Base cấu hình,Theo action và kiểm tra parser,Thiếu/không hữu hạn → reject,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:321,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
llh.longitude_deg,MQTT,MQTT command client,Lệnh JSON,number,độ,Kinh độ local Base cấu hình,Theo action và kiểm tra parser,Thiếu/không hữu hạn → reject,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:322,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
llh.ellipsoid_height_m,MQTT,MQTT command client,Lệnh JSON,number,m,Cao ellipsoid local Base cấu hình,Theo action và kiểm tra parser,Thiếu/không hữu hạn → reject,Base queue/UM982; command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:323,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_m.x,MQTT,MQTT command client,set_local_base_coordinates,JSON number,m,Thành phần ECEF local Base cấu hình,coordinate_system=ecef; finite và qua kiểm tra,Thiếu → reject,Local Base command queue,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:294,unknown,Tọa độ cấu hình có cùng điểm quy chiếu với RTCM1006 không? Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_m.y,MQTT,MQTT command client,set_local_base_coordinates,JSON number,m,Thành phần ECEF local Base cấu hình,coordinate_system=ecef; finite và qua kiểm tra,Thiếu → reject,Local Base command queue,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:294,unknown,Tọa độ cấu hình có cùng điểm quy chiếu với RTCM1006 không? Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_m.z,MQTT,MQTT command client,set_local_base_coordinates,JSON number,m,Thành phần ECEF local Base cấu hình,coordinate_system=ecef; finite và qua kiểm tra,Thiếu → reject,Local Base command queue,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:294,unknown,Tọa độ cấu hình có cùng điểm quy chiếu với RTCM1006 không? Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
